iter	RMSE
0	16.20223271
1	14.7991434
2	13.51221993
3	12.36757023
4	11.3305903
5	10.36818994
6	9.539979794
7	8.800253684
8	8.117950388
9	7.55266537
10	7.030304249
11	6.543848212
12	6.10525709
13	5.70519993
14	5.355355311
15	5.059983856
16	4.782869048
17	4.539418349
18	4.33470707
19	4.15709735
20	4.0001671
21	3.861626437
22	3.740710497
23	3.631414692
24	3.544337835
25	3.466435602
26	3.395832952
27	3.328880871
28	3.275532248
29	3.232909465
30	3.190738767
31	3.154291533
32	3.126243708
33	3.100391584
34	3.073603698
35	3.050340514
36	3.033062329
37	3.017419034
38	3.003279902
39	2.986755197
40	2.975034528
41	2.96372454
42	2.954153328
43	2.946053198
44	2.93581791
45	2.928796786
46	2.921152464
47	2.915038684
48	2.909256752
49	2.903311655
50	2.898171042
51	2.892811476
52	2.889496972
53	2.883907372
54	2.878827906
55	2.873525125
56	2.869425979
57	2.863703774
58	2.861430657
59	2.856618826
60	2.852847539
61	2.850557839
62	2.848107684
63	2.845215002
64	2.842484153
65	2.838958649
66	2.836609662
67	2.831816353
68	2.827907594
69	2.823271758
70	2.82069335
71	2.817255761
72	2.814305468
73	2.810392056
74	2.806570813
75	2.803730711
76	2.801520839
77	2.798301333
78	2.795041005
79	2.790890667
80	2.788574222
81	2.785653418
82	2.78197065
83	2.778986866
84	2.77630418
85	2.77288035
86	2.768401065
87	2.765327179
88	2.762766611
89	2.759148177
90	2.755558192
91	2.753102022
92	2.749603189
93	2.745479686
94	2.743485528
95	2.739987294
96	2.735728125
97	2.73322623
98	2.730840126
99	2.727418149
100	2.724977327
101	2.719620092
102	2.716648026
103	2.714943297
104	2.710136478
105	2.705805781
106	2.702176784
107	2.699131362
108	2.696965027
109	2.69488827
110	2.69294669
111	2.689241754
112	2.684993616
113	2.681963377
114	2.678029691
115	2.673170026
116	2.66963539
117	2.663884584
118	2.659993668
119	2.655161223
120	2.650982304
121	2.647392414
122	2.642654745
123	2.639997201
124	2.636272121
125	2.633330317
126	2.629024911
127	2.626334675
128	2.623573999
129	2.6209167
130	2.616808317
131	2.614508177
132	2.612299759
133	2.607818352
134	2.603952212
135	2.599362141
136	2.598357839
137	2.595624179
138	2.594078696
139	2.592244618
140	2.587092985
141	2.58588203
142	2.583786953
143	2.581690456
144	2.577857219
145	2.574451965
146	2.570764879
147	2.567154143
148	2.563904213
149	2.560916824
