iter	Passed	Remaining
0	1	190
1	1	137
2	2	105
3	2	98
4	3	95
5	3	93
6	4	91
7	5	89
8	5	88
9	6	87
10	6	85
11	7	84
12	7	83
13	8	83
14	9	82
15	9	81
16	10	81
17	10	80
18	11	79
19	11	76
20	12	76
21	12	73
22	13	72
23	13	71
24	14	71
25	14	70
26	15	70
27	15	69
28	16	69
29	17	68
30	17	67
31	18	67
32	18	66
33	19	66
34	19	65
35	20	64
36	21	64
37	21	63
38	22	63
39	22	62
40	23	61
41	23	61
42	24	60
43	24	60
44	25	59
45	26	58
46	26	58
47	27	57
48	27	57
49	28	56
50	28	55
51	29	55
52	29	54
53	30	54
54	30	53
55	31	52
56	32	52
57	32	51
58	33	51
59	33	50
60	34	49
61	34	49
62	35	48
63	35	48
64	36	47
65	36	47
66	37	46
67	38	45
68	38	45
69	39	44
70	39	44
71	40	43
72	40	43
73	41	42
74	41	41
75	42	41
76	43	40
77	43	40
78	44	39
79	44	39
80	45	38
81	45	37
82	46	37
83	46	36
84	47	36
85	47	35
86	48	35
87	49	34
88	49	34
89	50	33
90	50	32
91	51	32
92	51	31
93	52	31
94	52	30
95	53	30
96	53	29
97	54	28
98	55	28
99	55	27
100	56	27
101	56	26
102	57	26
103	57	25
104	58	25
105	58	24
106	59	23
107	59	23
108	60	22
109	61	22
110	61	21
111	62	21
112	62	20
113	63	19
114	63	19
115	64	18
116	64	18
117	65	17
118	65	17
119	66	16
120	66	16
121	67	15
122	67	14
123	68	14
124	69	13
125	69	13
126	70	12
127	70	12
128	71	11
129	71	11
130	72	10
131	72	9
132	73	9
133	74	8
134	74	8
135	75	7
136	75	7
137	76	6
138	76	6
139	77	5
140	77	4
141	78	4
142	79	3
143	79	3
144	80	2
145	80	2
146	81	1
147	81	1
148	82	0
149	82	0
